classifier_name,fit_time,score_time,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
RF_10,0.014099216461181641,0.00544736385345459,0.925,0.9314448051948053,0.9221212121212121,0.9235145792870924
DT,0.0008754491806030274,0.004085826873779297,0.9299999999999999,0.9344344544344544,0.9276767676767677,0.9286998746867168
KNN,0.0011298656463623047,0.007553982734680176,0.945,0.9526695526695527,0.9422222222222221,0.9436946330019422
